word	count
bench	23
favorite	341
story	421
slot	10
tight	89
shark	89
sleep	334
busy	163
been	468
sheep	246
helps	40
david	25
friend	296
best	222
yikes	63
upstairs	215
balloons	64
crab	103
umbrella	94
reason	56
sideways	14
walking	161
excellent	133
cheese	561
grilled	4
yup	526
reindeer	21
spy	45
sneaky	4
himself	104
accidents	7
turtles	50
tossed	9
pretty	618
she's	1400
water	1142
beach	154
crawl	21
milk	461
land	109
bury	8
pick	712
scamper	1
hatch	13
batch	8
lay	35
giving	209
crayon	164
dinosaur	247
line	139
spells	142
race	49
angelfish	2
panda	107
drop	77
doo	614
whatever	101
darling	28
sea	170
prettiest	5
choose	44
aboard	25
gorgeous	13
creatures	24
shame	13
next	697
heat	40
lower	15
cooler	7
carrying	84
birdie	74
mountain	85
girls	57
boys	47
lemon	49
walrus	30
nighttime	22
trust	8
hooray	172
carlos	7
wan	12
easter	77
muscles	12
doggie	186
instead	161
rug	99
jelly	102
graham	41
farm	187
macdonald's	1
old	480
sesame	41
called	985
aye	6
ee	44
rooster	42
runs	30
caterpillar	104
than	337
faster	58
teeny	38
frustrated	32
drumming	8
farmer	89
cheap	11
stuff	507
santa	52
colors	237
choo	292
talked	40
ducks	112
trampling	1
fabulous	24
ladybug	86
touching	30
ever	254
looking	714
ma	44
gimme	68
banging	18
grasshopper	36
bowl	369
elephant	342
gotcha	38
dragonfly	19
looks	1007
nothing	150
dirt	115
drawer	51
name	920
tonight	112
coming	576
papa	77
squeaky	13
spoons	61
five	557
six	350
ju	3
seven	328
upside	123
eight	368
cannot	59
wants	333
holding	173
disappeared	42
figure	90
mommy's	950
dripping	16
couldn't	167
knew	150
change	158
nine	277
boo	657
heart	122
white	610
either	161
mine	185
rita	1
oscar	29
spell	147
falling	189
prizes	12
scoot	11
store	359
sheet	18
baking	27
crying	91
staple	4
scrub	82
system	24
mix	146
joey	52
days	140
seen	229
word	259
division	2
happen	93
ship	84
rocket	45
cuddle	14
'em	109
fallin	4
breeze	13
fell	395
anybody	63
leaving	34
hope	165
bubba	5
hurry	92
gigi	83
heard	176
snowing	31
da	184
gabbing	1
carrier	16
through	484
baked	19
noon	11
delivering	10
business	26
keep	701
dancing	131
holes	43
kicking	36
macaroni	82
beautiful	241
top	583
kicker	1
great	1128
spinning	50
excused	2
may	280
videos	7
pin	66
rolling	122
believe	120
grammy's	5
last	450
manners	12
bought	97
cousin	52
sour	16
finish	259
grumpy	33
auntie	153
breezy	2
somebody's	65
yer	278
god	172
twelve	90
eleven	93
ten	303
sneezes	12
cooked	23
blech	2
acting	19
zoe	52
who're	18
bribe	3
habit	4
bad	187
faces	37
mouth	508
chef	7
penguin	69
officer	24
police	159
safely	16
cross	51
we've	119
really	1684
paying	14
grown	43
sees	67
doctor	191
call	571
pat	22
cinnamon	22
definitely	94
before	444
o'clock	55
coat	77
boom	253
between	65
trick	58
pumpkin	201
dropped	88
ripped	26
baby	2407
confused	18
throwing	98
reach	121
closer	59
zero	29
falls	55
plan	66
skunk	30
pet	32
smelly	23
brownies	2
cooperate	12
lamp	24
walks	26
case	78
lion	234
stop	480
walk	367
everything's	31
sidewalk	20
reading	208
bridge	189
calm	35
hill	169
dat	10
exhausted	3
toothpaste	17
gate	41
quilt	18
stirring	13
mixing	53
meet	124
corner	136
mhm	2341
shirt	431
bicycle	65
asleep	107
fallen	18
sleeping	242
fire	460
chairs	52
lounge	4
pa	21
place	326
patio	5
rocco	1
showing	50
towel	125
bright	58
container	63
somebody	192
garage	72
factory	15
slippers	45
cloth	37
rocking	144
cup	312
runaway	6
clock	107
shake	368
stand	224
scissors	88
squares	36
anything	362
complaining	5
noticed	34
crayons	230
hoarse	2
voice	94
lose	79
awake	42
listening	67
seeds	127
elbows	20
knock	87
tower	152
ripe	37
tomatoes	46
hitting	25
there'll	8
blame	8
forgot	126
moon	424
dump	148
puppy	441
stars	131
ha	454
helicopter	53
goin	55
tunnel	137
shakers	5
cookies	298
its	175
plate	108
jellyfish	16
fall	296
inch	6
jiggle	7
kiddie	2
bed	586
joe	41
pajamas	107
pans	10
extra	78
dish	39
cards	136
flash	21
problem	112
cover	82
song	486
tore	15
shapes	165
steal	14
silence	23
stress	6
giraffe	143
repair	5
might	799
understand	82
owl	157
thief	3
claus	15
having	367
cooking	92
cool	166
sing	493
hum	53
hoo	124
la	344
cut	292
de	48
threw	74
supposed	212
ago	115
fridays	2
skating	23
roller	33
sound	263
longer	68
happens	151
breakfast	370
dorothy	40
bray	5
games	42
during	41
pinks	5
sweep	33
timeout	11
into	949
middle	98
boop	131
circles	71
'bout	18
jeff	18
ruffle	2
belong	78
poor	157
black	437
jello	13
gingerbread	23
crush	16
stands	25
elbow	53
pasta	103
bucket	170
slugger	2
bunch	62
kinda	283
buzz	30
goodness	443
taste	84
yard	53
lap	173
crushing	2
plants	49
hafta	1576
wa	38
lots	347
tire	34
mixed	43
cars	241
flat	106
skate	16
battle	7
naughty	38
upset	51
directions	23
sleeves	21
frog	278
mixer	54
putting	344
pad	28
high	218
adventures	10
animal	249
dreams	35
sometimes	365
animals	405
almost	329
dolphin	28
afternoon	64
hear	495
roar	65
limousine	2
tallest	10
scooter	46
interested	32
tough	58
sock	102
shower	80
obscene	1
house	1080
grammy	29
move	457
bag	399
uncle	164
unless	47
brown	420
yep	969
silicone	1
wooden	19
block	240
tube	31
round	327
oink	132
finger	220
hon	22
drive	113
doodle	107
cock	71
ray	45
garden	119
family	75
mia	1
us	457
calling	105
cakes	64
decorate	14
statue	21
bin	47
construction	51
carpentry	3
biggest	47
snake	246
vegetables	72
cooks	9
artist	23
kidding	38
draw	394
louise	10
square	232
spaghetti	62
patience	6
seconds	14
death	4
starve	2
she'd	35
rely	1
baby's	180
squirrel	93
cone	79
bracelet	53
porch	18
tanker	28
tide	9
window	206
gross	16
faint	3
magnet	33
front	252
air	183
carry	168
bugs	75
smash	20
bird's	36
smooth	73
jessica	86
circle	337
glass	93
same	325
triangle	218
pony	46
their	765
miss	306
welcome	163
muscle	4
shoes	350
bumps	19
making	559
hate	15
mean	733
plenty	40
rectangle	61
crushed	6
stepping	32
messy	78
dance	212
shoot	21
brush	277
ra	6
lady	112
lil	379
glue	127
words	161
pentagon	25
ants	65
doggy	152
spider	250
shape	152
flour	69
'kay	4
woof	206
gloves	46
hats	102
food	531
gray	50
hand	652
tone	6
op	89
goin'	6
board	82
wah	65
hiding	254
leaves	145
stays	59
creams	3
mess	206
bah	85
taking	294
surface	29
palette	1
dig	47
errand	5
subscription	1
wasn't	262
buy	243
jerry	8
higher	57
bathtub	37
pancake	36
stretch	45
bi	2
able	118
attack	14
feed	96
bay	61
changed	55
moment	48
ska	1
raking	24
prize	54
share	90
cleaning	131
peel	62
messages	3
mom	179
stealing	5
close	334
glove	33
spin	119
hide	128
keeps	85
birthday	487
asking	70
saved	27
kind	787
downstairs	134
texas	40
presents	68
pea	22
whisk	17
anyway	127
saturday	60
tomorrow	172
requests	1
tie	141
stocking	17
raining	121
dye	5
swizzle	1
fill	58
gentle	191
maker	23
popcorn	43
deserted	1
montessori	4
sneakers	26
skin	49
coloring	75
beast	53
beauty	46
napkins	10
message	31
rectangles	10
knot	7
thirty	123
appointment	18
wanted	307
usa	1
states	37
united	11
paints	33
choice	30
also	390
building	112
soapy	14
monday	56
flap	101
measuring	34
ding	140
rules	17
immediately	8
eh	59
hay	56
eating	651
knocked	55
write	214
answered	26
ladle	2
writing	44
sort	142
someplace	7
practice	36
rang	13
oval	48
donald	7
poe	3
sandbox	19
quiet	129
concentrating	2
brand	36
what'd	65
dirty	385
tractor	113
knife	77
butter	313
pushing	81
ups	22
washboard	1
plop	40
wearing	361
someone	191
she'll	182
lou	36
lizzy	6
aggravated	4
shows	30
accident	73
sticker	161
plates	20
scenery	1
finally	51
cutter	26
strong	74
dishes	46
robot	60
smooch	12
excited	55
dah	13
yet	283
cutters	9
apple's	4
design	19
glasses	122
yea	10
patient	32
cutting	69
sharp	58
laughing	51
wands	7
angel	56
snowman	82
asked	286
pear	136
fixed	79
am	440
kissing	97
due	10
report	2
scene	8
choke	10
staircase	6
moly	10
holy	13
refrigerator	80
kisses	110
neck	148
sponge	42
horse	288
wonderful	79
masterpiece	8
working	172
basketball	55
dropping	11
peeks	3
disgusting	6
ruin	19
conditioner	6
juicy	18
bum	57
dum	55
lizzie	13
gas	61
stick	255
heck	16
apples	123
fourteen	37
popped	33
fifteen	60
neatly	1
covers	33
ran	124
hurricane	5
sixteen	40
eyes	440
timer	28
pebble	2
proud	37
colby	1
eye	203
seventeen	30
ambulance	95
cabinet	19
eighteen	33
sponges	7
nineteen	27
setting	16
luck	40
twenty	201
mcdonald's	11
potatoes	40
options	2
pot	105
smaller	51
somehow	15
ponies	6
hard	466
expect	6
disk	4
dehydrating	1
marshmallow	5
beige	3
eighth	16
cups	78
charge	8
stinks	7
booth	7
missus	61
bop	23
gaba	3
jeez	48
cuts	23
rhinoceros	33
cutest	5
pressing	9
whoo	8
shades	8
marble	10
buttons	89
yuck	74
arms	96
basket	180
aggravating	3
picking	46
double	35
hurting	45
caught	102
mouses	2
teenie	4
art	30
turkeys	21
mice	112
sticks	74
sold	12
spiders	29
millions	8
hugging	35
fabric	7
octagon	14
messing	6
til	24
diamond	54
across	126
hancock	2
tickled	6
shove	4
rain	182
grass	147
wendy's	3
tray	72
opened	69
only	474
tickle	344
lawn	12
mowing	12
lines	25
butterfly	218
manuela	378
lily's	94
person's	14
beep	251
lily	801
pouring	34
lining	7
behind	283
person	193
harder	36
delivery	25
leaf	92
thrown	6
caution	1
worker	15
postal	3
shoebox	2
strainer	4
signal	19
collection	8
spelling	13
molding	4
mouse	252
needing	2
windows	51
rabbit	180
silver	36
rearrange	2
saw	694
trouble	119
wendy	16
screamed	7
ow	90
anyone	52
sink	61
rinse	15
stripes	22
question	119
against	39
lean	17
flatten	11
wolf	55
timber	2
tiny	269
year	150
weeny	8
until	181
supper	107
clip	193
bibs	1
blackmail	1
long	631
drool	2
forget	121
gasket	2
somewhere	201
john	37
recycling	16
beans	225
speck	5
thinking	202
flag	33
bike	108
bell	92
stink	7
towels	31
paper	602
pain	7
clover	13
how'd	28
arm	146
worry	91
dorothy's	8
tease	4
dong	24
leakage	1
reservoir	2
filling	7
numbers	79
chummy	3
joo	1
pour	116
agree	16
plant	101
bean	98
warped	1
mulch	1
curvy	10
three's	3
gym	28
jungle	40
dumping	11
medicine	110
tellin'	1
sudsy	9
present	183
running	139
